animal_id,date,rigid,n_done_trials,n_sessions,start_time,train_dur_hrs,trial_rate,hit_rate,viol_rate,side_bias,mass,tech,percent_target,pub_volume,rig_volume,volume_target,water_diff
R610,2023-05-15,Rig406,68,1,10:15:52,0.39,174.36,0.44,0.63,-0.18000000000000005,16.98,ER,4.0,0.624,0.066,0.68,0.009999999999999898
R610,2023-05-16,Rig406,177,1,09:50:40,1.03,171.84,0.56,0.6,-0.16000000000000003,16.96,JL,4.0,0.447,0.234,0.68,0.0010000000000000009
R610,2023-05-17,Rig406,160,1,07:37:16,1.03,155.34,0.6,0.01,0.020000000000000018,16.89,ER,4.0,0.0,1.6,0.68,0.92
R610,2023-05-18,Rig406,152,1,07:51:08,1.02,149.02,0.54,0.01,-0.08999999999999997,17.01,ER,4.0,0.0,1.5,0.68,0.82
R610,2023-05-19,Rig406,191,1,07:50:52,1.01,189.11,0.54,0.01,-0.049999999999999926,17.29,ER,4.0,0.285,0.412,0.69,0.007000000000000006
R610,2023-05-20,Rig406,186,1,07:56:33,1.0,186.0,0.49,0.01,0.0,17.09,ER,4.0,0.327,0.364,0.68,0.01100000000000001
W600,2023-05-15,Rig401,307,1,10:52:44,1.07,286.92,0.6,0.23999999999999996,0.25,22.06,ER,4.0,0.0,1.269,0.88,0.3889999999999999
W600,2023-05-16,Rig401,305,1,10:57:25,1.04,293.27,0.75,0.19,0.10000000000000009,21.95,JL,4.0,0.0,1.665,0.88,0.785
W600,2023-05-17,Rig401,302,1,08:48:35,1.02,296.08,0.65,0.19,0.2599999999999999,22.47,ER,4.0,0.0,1.431,0.9,0.531
W600,2023-05-18,Rig401,328,1,09:03:25,1.01,324.75,0.67,0.22999999999999998,0.11,22.43,ER,4.0,0.0,1.512,0.9,0.612
W600,2023-05-19,Rig401,291,2,09:01:26,0.95,306.32,0.6648797250859108,0.19945017182130587,0.15865979381443301,21.94,ER,4.0,0.0,0.0,0.88,-0.88
W600,2023-05-20,Rig401,304,1,09:06:11,1.01,300.99,0.67,0.26,-0.12,21.66,ER,4.0,0.0,1.359,0.87,0.489
